YYY,20120901,00:00:00.000,ENTER,2.920,28228,0,82425.76,OB0 ,0,,6045196022792930362,A,,,,,110
YYY,20120901,00:00:00.000,ENTER,2.920,8964,0,26174.88,SHL OB0 ,0,,6045196022792933691,A,,,,,210
YYY,20120901,00:00:00.000,ENTER,2.930,17831,0,52244.83,OB0 ,0,,6045196022792819761,A,,,,,110
YYY,20120901,00:00:00.000,ENTER,2.940,3019,0,8875.86,OB0 ,0,,6045196022792763215,A,,,,,110
YYY,20120901,00:00:00.000,ENTER,2.940,6981,0,20524.14,OB0 ,0,,6045196022792763173,A,,,,,110
YYY,20120901,00:00:00.000,ENTER,2.940,8267,0,24304.98,SHL OB0 ,0,,6045196022792933692,A,,,,,210
YYY,20120901,00:00:00.000,ENTER,2.950,17830,0,52598.5,OB0 ,0,,6045196022792664283,A,,,,,110
YYY,20120901,00:00:00.000,ENTER,2.950,27611,0,81452.45,OB0 ,0,,6045196022792928778,A,,,,,110
YYY,20120901,00:00:00.000,ENTER,2.950,3132,0,9239.4,OB0 ,0,,6045196022792664285,A,,,,,110
YYY,20120901,00:00:00.000,ENTER,2.960,1000,0,2960,SHL ,0,,6167505696264431480,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,2.960,700,0,2072,,0,,6167505696264895505,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,2.960,700,0,2072,SHL ,0,,6167505696264588541,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,2.960,700,0,2072,SHL ,0,,6167505696264774182,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,2.970,1400,0,4158,SHL ,0,,6167505696264423751,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,2.970,202,0,599.94,,0,,6167505696264272725,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,2.970,700,0,2079,SHL ,0,,6167505696264287687,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,2.970,798,0,2370.06,SHL ,0,,6167505696264273107,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,2.980,1000,0,2980,,0,,6167505696264273015,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,2.980,1000,0,2980,SHL ,0,,6167505696264216533,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,2.980,1100,0,3278,,0,,6167505696264273013,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,2.980,5000,0,14900,,0,,6167505696266865324,A,,,,,140
YYY,20120901,00:00:00.000,ENTER,2.990,1000,0,2990,SHL ,0,,6167505696264190005,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,2.990,2100,0,6279,SHL ,0,,6167505696264216534,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,3.000,1000,0,3000,SHL ,0,,6167505696264038008,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,3.000,2100,0,6300,SHL ,0,,6167505696264190006,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,3.000,671,0,2013,,0,,6167505696264239263,A,,,,,122
YYY,20120901,00:00:00.000,ENTER,3.010,3100,0,9331,SHL ,0,,6167505696264038010,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,3.020,17000,0,51340,,0,,6165132400415709852,A,,,,,140
YYY,20120901,00:00:00.000,ENTER,3.020,2500,0,7550,SHL ,0,,6166713223258238002,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,3.020,600,0,1812,SHL ,0,,6167505696263961635,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,3.030,1100,0,3333,,0,,6166713223260242759,A,,,,,140
YYY,20120901,00:00:00.000,ENTER,3.030,1127,0,3414.81,,0,,6166713223258252282,A,,,,,638
YYY,20120901,00:00:00.000,ENTER,3.030,2300,0,6969,SHL ,0,,6166713223258238005,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,3.030,800,0,2424,SHL ,0,,6167505696263961640,A,,,,,236
YYY,20120901,00:00:00.000,ENTER,3.040,9876,0,30023.04,,0,,6165132400418127227,A,,,,,140
YYY,20120901,00:00:00.000,ENTER,3.050,11650,0,35532.5,,0,,6164736301352037778,A,,,,,144
YYY,20120901,00:00:00.000,ENTER,3.050,6644,0,20264.2,,0,,6164736301353615734,A,,,,,638
YYY,20120901,00:00:00.000,ENTER,3.060,3275,0,10021.5,,0,,6164736301354344134,A,,,,,150
YYY,20120901,00:00:00.000,ENTER,3.070,3000,0,9210,,0,,6166713223258292356,A,,,,,638
YYY,20120901,00:00:00.000,ENTER,3.080,10000,0,30800,,0,,6164736301353906157,A,,,,,144
YYY,20120901,00:00:00.000,ENTER,3.090,215,0,664.35,,0,,6165132400415401027,A,,,,,144
YYY,20120901,00:00:00.000,ENTER,3.090,500,0,1545,,0,,6166306403955962926,A,,,,,140
YYY,20120901,00:00:00.000,ENTER,3.100,1434,0,4445.4,,0,,6167109597201314023,A,,,,,255
